license_core,concurrency_limit_core,license_premium_es,license_premium_itsi,license_premium_vmware,license_premium_exchange,license_premium_pci,concurrency_limit_premium
32000,100,33000,33000,33000,33000,33000,38
32250,100,33250,33250,33250,33250,33250,38
32500,100,33500,33500,33500,33500,33500,38
32750,100,33750,33750,33750,33750,33750,38
33000,100,34000,34000,34000,34000,34000,38
33250,100,34250,34250,34250,34250,34250,38
33500,100,34500,34500,34500,34500,34500,38
33750,100,34750,34750,34750,34750,34750,38
34000,100,35000,35000,35000,35000,35000,38
34250,100,35250,35250,35250,35250,35250,38
34500,100,35500,35500,35500,35500,35500,38
34750,100,35750,35750,35750,35750,35750,38
35000,100,36000,36000,36000,36000,36000,38
35250,100,36250,36250,36250,36250,36250,38
35500,100,36500,36500,36500,36500,36500,38
35750,100,36750,36750,36750,36750,36750,38
36000,100,37000,37000,37000,37000,37000,38
36250,100,37250,37250,37250,37250,37250,38
36500,100,37500,37500,37500,37500,37500,38
36750,100,37750,37750,37750,37750,37750,38
37000,100,38000,38000,38000,38000,38000,38
37250,100,38250,38250,38250,38250,38250,38
37500,100,38500,38500,38500,38500,38500,38
37750,100,38750,38750,38750,38750,38750,38
38000,100,39000,39000,39000,39000,39000,38
38250,100,39250,39250,39250,39250,39250,38
38500,100,39500,39500,39500,39500,39500,38
38750,100,39750,39750,39750,39750,39750,38
39000,100,40000,40000,40000,40000,40000,38
39250,100,40250,40250,40250,40250,40250,38
39500,100,40500,40500,40500,40500,40500,38
39750,100,40750,40750,40750,40750,40750,38
40000,100,41000,41000,41000,41000,41000,38
40250,0,41250,41250,41250,41250,41250,38
40500,0,41500,41500,41500,41500,41500,38
40750,0,41750,41750,41750,41750,41750,38
41000,0,42000,42000,42000,42000,42000,38
41250,0,42250,42250,42250,42250,42250,38
41500,0,42500,42500,42500,42500,42500,38
41750,0,42750,42750,42750,42750,42750,38
42000,0,43000,43000,43000,43000,43000,38
42250,0,43250,43250,43250,43250,43250,38
42500,0,43500,43500,43500,43500,43500,38
42750,0,43750,43750,43750,43750,43750,38
43000,0,44000,44000,44000,44000,44000,38
43250,0,44250,44250,44250,44250,44250,38
43500,0,44500,44500,44500,44500,44500,38
43750,0,44750,44750,44750,44750,44750,38
44000,0,45000,45000,45000,45000,45000,38
44250,0,45250,45250,45250,45250,45250,38
44500,0,45500,45500,45500,45500,45500,38
44750,0,45750,45750,45750,45750,45750,38
45000,0,46000,46000,46000,46000,46000,38
45250,0,46250,46250,46250,46250,46250,38
45500,0,46500,46500,46500,46500,46500,38
45750,0,46750,46750,46750,46750,46750,38
46000,0,47000,47000,47000,47000,47000,38
46250,0,47250,47250,47250,47250,47250,38
46500,0,47500,47500,47500,47500,47500,38
46750,0,47750,47750,47750,47750,47750,38
